City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
276,Guatire,VE,10.4762,-66.5427,72.1,95,39,1.19,scattered clouds
277,Inuvik,CA,68.3499,-133.7218,34.29,98,100,6.67,overcast clouds
278,Maloy,NO,61.9353,5.1136,59.65,64,37,5.01,scattered clouds
279,Nanortalik,GL,60.1432,-45.2371,40.33,55,3,9.48,clear sky
280,Bandarbeyla,SO,9.4942,50.8122,82.62,70,22,28.63,light rain
281,Pevek,RU,69.7008,170.3133,20.98,68,19,13.53,few clouds
282,Chengde,CN,40.9725,117.9361,59.5,90,69,2.51,broken clouds
283,Arlit,NE,18.7369,7.3853,96.98,9,0,9.98,clear sky
284,Aswan,EG,24.0934,32.907,94.64,19,2,11.39,clear sky
285,Geraldton,AU,-28.7667,114.6,63.01,77,40,11.5,scattered clouds
286,Maun,BW,-19.9833,23.4167,93.16,24,0,8.05,clear sky
287,Palmas,BR,-10.2128,-48.3603,78.67,83,75,2.3,broken clouds
288,Achutupo,PA,9.2,-77.9833,78.31,84,75,2.91,broken clouds
289,Den Helder,NL,52.9599,4.7593,60.98,70,90,14.0,overcast clouds
290,Lavrentiya,RU,65.5833,-171.0,23.54,86,24,10.58,few clouds
291,Eydhafushi,MV,5.1033,73.0708,81.59,78,100,14.07,overcast clouds
292,Acajutla,SV,13.5928,-89.8275,76.5,85,12,5.73,few clouds
293,Leningradskiy,RU,69.3833,178.4167,13.12,78,4,11.16,clear sky
294,Trinidad,BO,-14.8333,-64.9,78.31,69,29,5.64,scattered clouds
295,Lima,PE,-12.0432,-77.0282,57.45,82,90,5.75,overcast clouds
296,General Cepeda,MX,25.3833,-101.45,65.07,88,100,3.13,overcast clouds
297,Korla,CN,41.7597,86.1469,69.31,19,33,24.67,scattered clouds
298,Berlevag,NO,70.8578,29.0864,51.8,81,49,25.77,scattered clouds
299,Nizwa,OM,22.9333,57.5333,96.4,26,100,3.56,overcast clouds
300,Sompeta,IN,18.9333,84.6,85.33,78,36,9.75,scattered clouds
301,Lethem,GY,3.3803,-59.7968,77.95,77,69,9.08,broken clouds
302,Zapolyarnyy,RU,69.4154,30.8136,47.48,76,72,19.08,broken clouds
303,Toora-Khem,RU,52.4675,96.11,35.15,54,81,3.11,broken clouds
304,Saint-Augustin,CA,51.226,-58.6502,46.17,95,100,16.82,overcast clouds
305,Ahipara,NZ,-35.1667,173.1667,52.56,91,35,6.71,scattered clouds
306,Qaqortoq,GL,60.7167,-46.0333,34.3,48,5,3.56,clear sky
307,Lindi,TZ,-10.0,39.7167,86.47,49,74,10.69,broken clouds
308,Barcelona,ES,41.3888,2.159,80.19,70,20,3.0,few clouds
309,Tateyama,JP,34.9833,139.8667,78.1,79,0,11.23,clear sky
310,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,69,40,18.41,scattered clouds
311,Richards Bay,ZA,-28.783,32.0377,68.49,88,100,10.18,light rain
312,Stornoway,GB,58.2093,-6.3865,51.93,76,75,21.85,broken clouds
313,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,0,13.8,clear sky
314,Abu Dhabi,AE,24.4667,54.3667,98.62,53,0,10.36,clear sky
315,Sandakan,MY,5.8402,118.1179,83.88,79,40,4.61,scattered clouds
316,Poum,NC,-20.2333,164.0167,74.08,84,80,22.95,broken clouds
317,Baiyin,CN,36.5583,104.2081,70.68,40,100,9.42,overcast clouds
318,Chaman,PK,30.9236,66.4512,79.02,21,94,3.74,overcast clouds
319,Goksun,TR,38.021,36.4973,76.15,26,2,12.46,clear sky
320,Chara,RU,56.9064,118.2631,30.99,68,14,2.46,few clouds
